tweet,sentiment,emotion,sentiment attention words,emo attention words
a bus hit an indian guy,negative,fear,"['hit', 'guy', 'indian', 'bus']","['hit', 'indian', 'bus', 'guy']"
Riot at Little India. Police car was smashed earlier. Please avoid that area and give way to emergency vehicles!,negative,fear,"['smashed', 'avoid', 'Riot', 'Please', 'give']","['smashed', 'avoid', 'Riot', 'emergency', 'India']"
Omg I hope nobody gets too hurt in the riot at Little India :(,negative,sadness,"['hurt', 'Omg', 'nobody', 'gets', 'hope']","['riot', 'hurt', 'nobody', 'India', 'Little']"
The rescue team is searching for people lost in the devastating flood. They are also trying to rescue people stranded by rising waters.,negative,fear,"['lost', 'stranded', 'searching', 'devastating', 'rescue']","['stranded', 'lost', 'searching', 'devastating', 'rescue']"
1 month after Super Typhoon Haiyan Philippines faces huge challenges.,neutral,fear,"['Haiyan', 'Typhoon', 'faces', 'month', 'Super']","['Haiyan', 'Typhoon', 'huge', 'faces', 'challenges']"
"So much respect for the firemen, police officers and all those who are there to manage the situation.",positive,love,"['respect', 'firemen', 'manage', 'much', 'officers']","['manage', 'firemen', 'respect', 'much', 'situation']"
Rescue teams are working tirelessly to find survivors after earthquake… in this challenging time.,neutral,fear,"['tirelessly', 'challenging', 'working', 'survivors', 'Rescue']","['challenging', 'survivors', 'tirelessly', 'earthquake', 'working']"
Communities are coming together to share resources and help evacuate those in danger after wildfire crisis.,neutral,fear,"['evacuate', 'coming', 'danger', 'share', 'Communities']","['evacuate', 'danger', 'wildfire', 'share', 'coming']"
Rioting mob attacked SCDF rescuers,negative,anger,"['Rioting', 'rescuers', 'attacked', 'mob', 'SCDF']","['Rioting', 'rescuers', 'attacked', 'mob', 'SCDF']"
Updated with vids. Riot in Little India Angry mob overturns Police cars & sets them on fire,negative,anger,"['overturns', 'Angry', 'sets', 'Riot', 'mob']","['Updated', 'Riot', 'Angry', 'overturns', 'India']"
Singapore Little India Riot 2013 - Mob Surrounds Vehicles #singapore,negative,anger,"['Surrounds', 'Mob', 'Little', 'Riot', 'Singapore']","['Surrounds', 'Mob', 'Riot', 'Vehicles', 'Little']"
SCDF officers are really brave. Going out to the riot and they can even lose their lives,neutral,surprise,"['brave', 'lose', 'SCDF', 'really', 'Going']","['riot', 'lose', 'brave', 'lives', 'Going']"
"SCDF officers standby and shields up. Racecourse road condone off. Apparently, a bus hit an Indian guy",neutral,fear,"['Racecourse', 'hit', 'Apparently', 'standby', 'condone']","['condone', 'standby', 'Indian', 'Racecourse', 'shields']"
"SCDF officers personnels controlling the streets of Little India tonight, you've got a big job on your hands. Stay strong and stay safe, mates",positive,joy,"['personnels', 'safe', 'controlling', 'job', 'SCDF']","['controlling', 'safe', ""'ve"", 'Stay', 'streets']"
Bus driver ran over a local. No response from emergency services for over 30mins. Bus driver attacked.,negative,anger,"['attacked', 'ran', 'driver', 'response', '30mins']","['attacked', 'ran', 'emergency', '30mins', 'local']"
China bus driver knocked down an Indian guy and he died.,negative,fear,"['died', 'knocked', 'driver', 'China', 'guy']","['knocked', 'died', 'Indian', 'China', 'bus']"
"oh, apparently a bus driver hit down a Bangla. Then riot ah",negative,anger,"['hit', 'riot', 'Bangla', 'oh', 'apparently']","['Bangla', 'hit', 'riot', 'ah', 'apparently']"
My thoughts with those in #Paris tonight . Stay safe everyone . #ParisAttack,neutral,fear,"['safe', 'thoughts', 'everyone', 'Stay', 'tonight']","['Stay', 'safe', 'thoughts', 'everyone', 'tonight']"
"Rumor has is that 2 police officers , 3 SCDF officers and 3 fire fighters died in the riot ? ",negative,sadness,"['died', 'Rumor', 'SCDF', 'fighters', 'riot']","['died', 'riot', 'Rumor', 'SCDF', 'fire']"
Man held over gun attack on police,negative,fear,"['Man', 'held', 'attack', 'gun', 'police']","['held', 'attack', 'gun', 'police', 'Man']"
