tweet,sentiment,emotion,sentiment attention words,emo attention words
a bus hit an indian guy,negative,fear,"['hit', 'bus', 'guy']","['bus', 'hit', 'guy']"
Riot at Little India. Police car was smashed earlier. Please avoid that area and give way to emergency vehicles!,negative,anger,"['smashed', 'Riot', 'avoid', 'Please', 'Little']","['smashed', 'Riot', 'car', 'Little', 'emergency']"
Omg I hope nobody gets too hurt in the riot at Little India :(,negative,anger,"['hurt', 'riot', 'nobody', 'hope', 'gets']","['riot', 'hurt', 'Little', 'hope', 'gets']"
The rescue team is searching for people lost in the devastating flood. They are also trying to rescue people stranded by rising waters.,negative,sadness,"['devastating', 'lost', 'stranded', 'trying', 'rescue']","['stranded', 'devastating', 'flood', 'rescue', 'rising']"
1 month after Super Typhoon Haiyan Philippines faces huge challenges.,negative,joy,"['faces', 'Typhoon', 'huge', 'Philippines', 'challenges']","['Typhoon', 'Philippines', 'challenges', 'Super', 'huge']"
"So much respect for the firemen, police officers and all those who are there to manage the situation.",neutral,anger,"['respect', 'fire', 'manage', 'much', 'officers']","['fire', 'manage', 'situation', 'police', 'respect']"
Rescue teams are working tirelessly to find survivors after earthquake… in this challenging time.,neutral,no_emotion,"['challenging', 'Rescue', 'find', 'survivors', 'earthquake']","['earthquake', 'Rescue', 'challenging', 'survivors', 'find']"
Communities are coming together to share resources and help evacuate those in danger after wildfire crisis.,neutral,fear,"['evacuate', 'danger', 'share', 'Communities', 'help']","['danger', 'evacuate', 'Communities', 'wild', 'share']"
Rioting mob attacked SCDF rescuers,negative,anger,"['attacked', 'rescue', 'Riot', 'mob', 'SC']","['SC', 'rescue', 'Riot', 'mob', 'attacked']"
Updated with vids. Riot in Little India Angry mob overturns Police cars & sets them on fire,negative,anger,"['Angry', 'Riot', 'Police', 'Updated', 'mob']","['Riot', 'Angry', 'Updated', 'Little', 'India']"
Singapore Little India Riot 2013 - Mob Surrounds Vehicles #singapore,neutral,anger,"['Riot', 'Vehicle', 'Little', 'Sur', 'Singapore']","['Riot', 'Vehicle', 'Little', 'Mo', 'Singapore']"
SCDF officers are really brave. Going out to the riot and they can even lose their lives,neutral,joy,"['brave', 'lose', 'riot', 'Going', 'officers']","['riot', 'SC', 'lose', 'brave', 'officers']"
"SCDF officers standby and shields up. Racecourse road condone off. Apparently, a bus hit an Indian guy",neutral,anger,"['hit', 'Apparently', 'stand', 'Indian', 'Racecourse']","['hit', 'shields', 'SC', 'Racecourse', 'bus']"
"SCDF officers personnels controlling the streets of Little India tonight, you've got a big job on your hands. Stay strong and stay safe, mates",neutral,joy,"['controlling', 'safe', 'Little', 'Stay', 'personnel']","['controlling', 'Little', 'SC', 'safe', 'streets']"
Bus driver ran over a local. No response from emergency services for over 30mins. Bus driver attacked.,negative,anger,"['attacked', 'ran', 'response', 'emergency', 'services']","['attacked', 'emergency', 'Bus', 'local', 'services']"
China bus driver knocked down an Indian guy and he died.,negative,fear,"['knocked', 'died', 'Indian', 'driver', 'bus']","['bus', 'driver', 'China', 'knocked', 'died']"
"oh, apparently a bus driver hit down a Bangla. Then riot ah",negative,anger,"['hit', 'Bang', 'riot', 'ah', 'apparently']","['Bang', 'ah', 'riot', 'bus', 'hit']"
My thoughts with those in #Paris tonight . Stay safe everyone . #ParisAttack,neutral,joy,"['safe', 'Stay', 'everyone', 'thoughts', 'Paris']","['safe', 'everyone', 'Paris', 'thoughts', 'Paris']"
"Rumor has is that 2 police officers , 3 SCDF officers and 3 fire fighters died in the riot ? ",negative,anger,"['died', 'police', 'riot', 'officers', 'fire']","['SC', 'riot', 'died', 'fire', 'police']"
Man held over gun attack on police,negative,anger,"['attack', 'held', 'Man', 'police', 'gun']","['Man', 'attack', 'held', 'gun', 'police']"
