tweet,sentiment,emotion,sentiment attention words,emo attention words
a bus hit an indian guy,neutral,no_emotion,"['hit', 'bus', 'guy', 'ind', 'ian']","['hit', 'guy', 'bus', 'ind', 'ian']"
Riot at Little India. Police car was smashed earlier. Please avoid that area and give way to emergency vehicles!,negative,fear,"['smashed', 'avoid', 'emergency', 'way', 'Police']","['smashed', 'avoid', 'Please', 'emergency', 'Police']"
Omg I hope nobody gets too hurt in the riot at Little India :(,negative,surprise,"['nobody', 'hurt', 'hope', 'gets', 'mg']","['hurt', 'hope', 'nobody', 'riot', 'mg']"
The rescue team is searching for people lost in the devastating flood. They are also trying to rescue people stranded by rising waters.,negative,sadness,"['rescue', 'flood', 'lost', 'stranded', 'rescue']","['devastating', 'lost', 'rescue', 'searching', 'rescue']"
1 month after Super Typhoon Haiyan Philippines faces huge challenges.,neutral,fear,"['Typhoon', 'faces', 'challenges', 'Super', 'Philippines']","['faces', 'challenges', 'huge', 'Philippines', 'month']"
"So much respect for the firemen, police officers and all those who are there to manage the situation.",positive,love,"['respect', 'fire', 'manage', 'much', 'officers']","['respect', 'manage', 'fire', 'much', 'men']"
Rescue teams are working tirelessly to find survivors after earthquake… in this challenging time.,neutral,fear,"['find', 'challenging', 'survivors', 'ue', 'esc']","['challenging', 'tirelessly', 'working', 'survivors', 'teams']"
Communities are coming together to share resources and help evacuate those in danger after wildfire crisis.,neutral,fear,"['evacuate', 'share', 'danger', 'help', 'wildfire']","['danger', 'evacuate', 'coming', 'share', 'help']"
Rioting mob attacked SCDF rescuers,negative,anger,"['attacked', 'resc', 'SC', 'DF', 'iot']","['attacked', 'mob', 'ing', 'DF', 'iot']"
Angry mob overturns Police cars & sets them on fire.Updated with vids. Riot in Little India,negative,anger,"['overturn', 'sets', 'mob', 'cars', 'Police']","['overturn', 'Ang', 'ry', 'sets', 'mob']"
Singapore Little India Riot 2013 - Mob Surrounds Vehicles #singapore,neutral,no_emotion,"['Mob', 'Little', 'Vehicles', 'round', 'Riot']","['Riot', 'Little', 'Vehicles', 'India', 'Sur']"
SCDF officers are really brave. Going out to the riot and they can even lose their lives,neutral,joy,"['Going', 'brave', 'officers', 'even', 'lose']","['brave', 'lose', 'riot', 'officers', 'Going']"
"SCDF officers standby and shields up. Racecourse road condone off. Apparently, a bus hit an Indian guy",neutral,anger,"['condone', 'hit', 'shields', 'road', 'Apparently']","['hit', 'standby', 'condone', 'Apparently', 'road']"
"SCDF officers personnels controlling the streets of Little India tonight, you've got a big job on your hands. Stay strong and stay safe, mates",neutral,no_emotion,"['controlling', 'tonight', 'officers', 'hands', 'Little']","['controlling', 'strong', 'safe', 'Stay', 'big']"
Bus driver ran over a local. No response from emergency services for over 30mins. Bus driver attacked.,negative,anger,"['ran', 'attacked', 'driver', 'response', 'driver']","['attacked', 'ran', 'driver', 'response', 'driver']"
China bus driver knocked down an Indian guy and he died.,negative,fear,"['knocked', 'driver', 'died', 'guy', 'bus']","['knocked', 'died', 'driver', 'Indian', 'China']"
"oh, apparently a bus driver hit down a Bangla. Then riot ah",negative,anger,"['hit', 'riot', 'apparently', 'Bang', 'driver']","['riot', 'hit', 'apparently', 'driver', 'la']"
My thoughts with those in #Paris tonight . Stay safe everyone . #ParisAttack,positive,joy,"['safe', 'thoughts', 'everyone', 'Stay', 'tonight']","['safe', 'Stay', 'everyone', 'thoughts', 'Paris']"
"Rumor has is that 2 police officers , 3 SCDF officers and 3 fire fighters died in the riot ? ",negative,surprise,"['died', 'riot', 'police', 'fighters', 'DF']","['died', 'Rum', 'DF', 'riot', 'officers']"
Man held over gun attack on police,negative,fear,"['held', 'attack', 'gun', 'Man', 'police']","['held', 'attack', 'gun', 'Man', 'police']"
